"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"ESRCPUS","194913","66791.968","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","195013","72200.34","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","195113","83092.821","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","195213","93544.873","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","195313","104146.29","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","195413","116228.286","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","195513","128400.614","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","195613","143476.453","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","195713","156723.271","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","195813","169492.241","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","195913","184544.088","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","196013","201463.381","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","196113","214444.853","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","196213","232801.889","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","196313","250752.651","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","196413","271842.079","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","196513","291012.652","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","196613","316888.36","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","196713","340113.936","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","196813","381569.847","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","196913","426736.084","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197013","466290.588","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197113","499531.999","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197213","538609.184","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197301","52840.231","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197302","49601.308","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197303","46314.971","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197304","41820.951","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197305","39824.999","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197306","44967.106","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197307","54122.893","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197308","56742.07","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197309","56209.577","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197310","47207.37","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197311","43181.173","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197312","46398.725","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197313","579231.374","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197401","52878.418","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197402","47779.428","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197403","46095.814","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197404","43193.401","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197405","41105.123","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197406","46597.044","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197407","53540.458","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197408","56699.323","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197409","52947.797","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
"ESRCPUS","197410","44164.147","1","Electricity Retail Sales to the Residential Sector","Million Kilowatthours"
