"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"DFRCPUS","194913","329.173","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","195013","389.934","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","195113","435.929","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","195213","451.582","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","195313","456.479","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","195413","508.466","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","195513","561.551","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","195613","590.587","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","195713","588.104","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","195813","630.907","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","195913","629.041","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","196013","735.568","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","196113","757.027","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","196213","793.852","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","196313","791.578","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","196413","765.719","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","196513","805.468","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","196613","796.063","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","196713","836.43","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","196813","866.391","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","196913","864.685","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197013","883.252","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197113","892.011","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197213","936.361","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197301","1706.943","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197302","1614.436","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197303","1140.521","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197304","824.604","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197305","676.745","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197306","529.836","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197307","483.905","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197308","561.067","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197309","599.469","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197310","820.681","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197311","1068.305","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197312","1321.49","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197313","942.254","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197401","1382.676","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197402","1383.677","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197403","1031.676","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197404","822.299","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197405","579.677","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197406","490.866","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197407","472.87","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197408","471.645","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197409","631.099","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197410","817.967","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197411","958.999","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197412","1394.805","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197413","867.21","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197501","1331.528","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197502","1332.976","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197503","1020.686","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197504","902.774","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197505","610.231","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197506","536.605","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197507","463.843","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197508","509.488","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197509","638.439","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197510","708.2","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197511","822.707","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197512","1349.657","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197513","849.703","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197601","1564.651","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197602","1341.453","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197603","1058.649","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197604","731.169","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197605","660.777","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197606","614.869","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197607","500.679","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197608","508.163","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197609","585.869","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197610","742.229","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197611","1250.871","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197612","1631.716","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197613","931.853","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197701","1936.64","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197702","1657.032","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197703","1003.481","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197704","728.565","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197705","678.579","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197706","602.965","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197707","516.708","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197708","562.063","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197709","625.365","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197710","768.063","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197711","874.864","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197712","1341.061","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197713","937.957","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197801","1317.036","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197802","1443.469","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197803","1188.359","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197804","695.669","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197805","711.68","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197806","634.935","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197807","540.453","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197808","695.712","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197809","701.302","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197810","844.358","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197811","988.737","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197812","1278.165","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197813","917.493","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197901","1303.453","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197902","1370.43","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197903","926.291","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197904","658.001","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197905","565.517","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197906","486.367","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197907","452.936","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197908","507.388","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197909","537.667","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197910","661.485","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197911","797.534","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197912","950.195","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","197913","764.779","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198001","1071.542","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198002","959.201","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198003","665.802","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198004","452.164","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198005","451.61","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198006","420.864","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198007","329.579","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198008","305.772","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198009","416.597","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198010","611.9","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198011","764.795","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198012","966.801","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198013","617.33","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198101","1149.477","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198102","825.995","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198103","472.513","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198104","336.365","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198105","349.288","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198106","339.398","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198107","297.288","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198108","336.095","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198109","346.698","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198110","609.964","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198111","660.629","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198112","763.124","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198113","539.536","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198201","746.132","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198202","611.788","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198203","624.003","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198204","632.436","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198205","422.228","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198206","336.468","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198207","240.646","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198208","291.421","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
